title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing,log_price,Gemeindename_x,Gemeindename_y,bev_dicht,Quartil,Kategorie,clean_Gemeindename
"Das eigene Haus in grüner, ruhiger Wohnlage kaufen!",295000.0,"01819 Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,112.0,872.0,2634.0,Einfamilienhaus (freistehend),56.0,nil,3.0,1.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}",12.59473402514672,Berg,Berg,68.28,Q2,ländlich,Berg
"Das eigene Haus in grüner, ruhiger Wohnlage kaufen!",295000.0,"01819 Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,112.0,872.0,2634.0,Einfamilienhaus (freistehend),56.0,nil,3.0,1.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}",12.59473402514672,Berg,Berg,74.7,Q2,ländlich,Berg
"Das eigene Haus in grüner, ruhiger Wohnlage kaufen!",295000.0,"01819 Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,112.0,872.0,2634.0,Einfamilienhaus (freistehend),56.0,nil,3.0,1.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}",12.59473402514672,Berg,Berg,160.24,Q3,ländlich,Berg
"Das eigene Haus in grüner, ruhiger Wohnlage kaufen!",295000.0,"01819 Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,112.0,872.0,2634.0,Einfamilienhaus (freistehend),56.0,nil,3.0,1.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}",12.59473402514672,Berg,Berg,227.3,Q4,städtisch,Berg
"Das eigene Haus in grüner, ruhiger Wohnlage kaufen!",295000.0,"01819 Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,112.0,872.0,2634.0,Einfamilienhaus (freistehend),56.0,nil,3.0,1.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}",12.59473402514672,Berg,Berg,51.62,Q2,ländlich,Berg
Zweifamilienhaus - mit Traumhafter Aussicht,299999.0,"01855 Kirnitzschtal, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,219.0,1040.0,1370.0,Mehrfamilienhaus,55.78,nil,4.0,2.0,2.0,3.57,"{'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-einliegerwohnung-label': ''}",12.611537753638338,Kirn,"Kirn, Stadt",496.61,Q4,städtisch,Kirn
Gepflegte DHH mit Wintergarten - ruhige Lage!,230000.0,"01877 Bischofswerda, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,136.0,600.0,1691.0,Doppelhaushälfte,184.0,sofort,2.0,2.0,1.0,2.5,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.345838935721968,Lage,Lage,157.28,Q3,ländlich,Lage
Gepflegte DHH mit Wintergarten - ruhige Lage!,230000.0,"01877 Bischofswerda, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,136.0,600.0,1691.0,Doppelhaushälfte,184.0,sofort,2.0,2.0,1.0,2.5,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.345838935721968,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Generationshaus oder genug Platz für eine große Familie - individuell Ideen sind gefragt,164999.0,"01896 Pulsnitz, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,145.0,960.0,1138.0,Mehrfamilienhaus,169.0,nil,4.0,2.0,2.0,3.57,{'is24qa-keller-label': ''},12.013700752882718,Puls,Puls,50.37,Q2,ländlich,Puls
Wohnhaus im Zentrum von Kamenz,129000.0,"01917 Kamenz, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,122.0,170.0,1057.0,nil,50.0,nil,2.0,2.0,2.0,3.57,{'is24qa-keller-label': ''},11.767575435251748,Kamen,"Kamen, Stadt",1038.93,Q4,städtisch,Kamen
