title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing,log_price,Gemeindename_x,Gemeindename_y,bev_dicht,Quartil,Kategorie,clean_Gemeindename
Kleine Immobilie in zentraler Lage,139000.0,"26826 Weener, Leer (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,85.0,612.0,1635.0,Einfamilienhaus (freistehend),10.0,nach Vereinbarung,2.0,1.0,3.0,3.57,{'is24qa-gaeste-wc-label': ''},11.842236406331555,Lage,Lage,157.28,Q3,ländlich,Lage
Kleine Immobilie in zentraler Lage,139000.0,"26826 Weener, Leer (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,85.0,612.0,1635.0,Einfamilienhaus (freistehend),10.0,nach Vereinbarung,2.0,1.0,3.0,3.57,{'is24qa-gaeste-wc-label': ''},11.842236406331555,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Tolles Grundstück mit unverbautem Weitblick,385000.0,"26826 Weener, Leer (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,117.67,1092.0,3272.0,Einfamilienhaus (freistehend),17.64,nach Vereinbarung,4.0,2.0,1.0,3.57,{},12.861001210669146,Weener,"Weener, Stadt",196.07,Q4,städtisch,Weener
Einfamilienhaus in Bunde zu verkaufen,249000.0,"26831 Bunde, Leer (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,145.0,674.0,1717.0,Einfamilienhaus (freistehend),50.0,nil,3.0,1.0,3.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.425212191503038,Bunde,Bunde,63.92,Q2,ländlich,Bunde
"*** TRAUMHAFTER WINKELBUNGALOW MIT KAMIN, SONNENTERRASSE UND GARAGE IN HESEL",289000.0,"26835 Hesel, Leer (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,179.0,649.0,1615.0,Bungalow,30.0,nil,4.0,2.0,1.0,2.98,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.574185427296195,Hesel,Hesel,105.14,Q3,ländlich,Hesel
*reserviert* ZENTRUMSNAH WOHNEN *** ebenerdiger Bungalow mit Garage *** mit Ausbaureserve,230000.0,"26842 Ostrhauderfehn, Leer (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3.0,90.61,359.0,2538.0,Einfamilienhaus (freistehend),20.9,6 Monate Künd.-frist,2.0,1.0,1.0,2.98,"{'is24qa-gaeste-wc-label': '', 'is24qa-vermietet-label': ''}",12.345838935721968,Ostrhauderfehn,Ostrhauderfehn,224.62,Q4,städtisch,Ostrhauderfehn
* Inmitten der Natur * Sauna * Schöne Raumaufteilung *,199000.0,"26871 Papenburg, Emsland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,168.0,1607.0,1185.0,Einfamilienhaus (freistehend),43.0,nil,4.0,1.0,3.0,4.17,{},12.201065128819632,Papenburg,"Papenburg, Stadt",319.87,Q4,städtisch,Papenburg
Zweifamilienhaus im Kapitänsviertel!,382500.0,"26871 Papenburg, Emsland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,170.0,683.0,2250.0,Mehrfamilienhaus,30.0,Nach Vereinbarung,3.0,2.0,1.0,3.57,{},12.854486546624395,Papenburg,"Papenburg, Stadt",319.87,Q4,städtisch,Papenburg
Doppelhaushälfte in ruhiger Siedlungslage,285000.0,"26871 Papenburg, Emsland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,130.0,339.0,2192.0,Doppelhaushälfte,32.0,nil,3.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},12.560247968016562,Papenburg,"Papenburg, Stadt",319.87,Q4,städtisch,Papenburg
EFH mit Anbau und Garage * Esterwegen *,235000.0,"26897 Esterwegen, Emsland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8.0,195.58,946.0,1202.0,Einfamilienhaus (freistehend),49.74,kurzfristig,5.0,3.0,2.0,2.98,{'is24qa-keller-label': ''},12.367345048436391,Esterwegen,Esterwegen,108.91,Q3,ländlich,Esterwegen
Neuwertig + Top Lage + Bootsliegeplatz,595000.0,"26899 Rhede (Ems), Emsland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,186.0,600.0,3199.0,Einfamilienhaus (freistehend),34.0,nil,3.0,2.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': ''}",13.296318365198623,Rhede (Ems),Rhede (Ems),58.66,Q2,ländlich,Rhede (Ems)
Energetisch unabhängig - Modernes und voll ausgestattetes EFH im Herzen von Surwold,598000.0,"26903 Surwold, Emsland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,157.45,901.0,3798.0,Einfamilienhaus (freistehend),41.8,nil,2.0,1.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': ''}",13.301347705172173,Surwold,Surwold,77.8,Q2,ländlich,Surwold
Bungalow in ruhiger Lage!,229000.0,"26903 Surwold, Emsland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,145.0,852.0,1579.0,Einfamilienhaus (freistehend),20.0,Nach Vereinbarung,2.0,2.0,1.0,3.57,{},12.34148164933907,Surwold,Surwold,77.8,Q2,ländlich,Surwold
"Hübsches, gepflegtes und saniertes Wohnhaus in zentraler Lage von Brake",199000.0,"26919 Brake (Unterweser), Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,100.0,419.0,1990.0,Einfamilienhaus (freistehend),20.0,aktuell vermietet aktuell vermietet,3.0,1.0,1.0,3.57,{'is24qa-vermietet-label': ''},12.201065128819632,Lage,Lage,157.28,Q3,ländlich,Lage
"Hübsches, gepflegtes und saniertes Wohnhaus in zentraler Lage von Brake",199000.0,"26919 Brake (Unterweser), Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,100.0,419.0,1990.0,Einfamilienhaus (freistehend),20.0,aktuell vermietet aktuell vermietet,3.0,1.0,1.0,3.57,{'is24qa-vermietet-label': ''},12.201065128819632,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
NAHE der WESER! Freistehendes 1-Familienhaus in beliebter Lage,149000.0,"26919 Brake (Unterweser), Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,135.0,638.0,1104.0,Einfamilienhaus (freistehend),30.0,nil,3.0,1.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",11.91170829631447,Lage,Lage,157.28,Q3,ländlich,Lage
NAHE der WESER! Freistehendes 1-Familienhaus in beliebter Lage,149000.0,"26919 Brake (Unterweser), Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,135.0,638.0,1104.0,Einfamilienhaus (freistehend),30.0,nil,3.0,1.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",11.91170829631447,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Gepflegtes Einfamilienhaus in schöner Lage!,174000.0,"26919 Brake (Unterweser), Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,112.36,811.0,1549.0,Einfamilienhaus (freistehend),73.35,sofort,3.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},12.066816325306588,Lage,Lage,157.28,Q3,ländlich,Lage
Gepflegtes Einfamilienhaus in schöner Lage!,174000.0,"26919 Brake (Unterweser), Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,112.36,811.0,1549.0,Einfamilienhaus (freistehend),73.35,sofort,3.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},12.066816325306588,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Einfamilienhaus in Sackgassenlage,165000.0,"26919 Brake (Unterweser), Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,101.05,1032.0,1633.0,Einfamilienhaus (freistehend),45.61,sofort,3.0,1.0,1.0,3.57,{},12.013706813470414,Brake (Unterweser),"Brake (Unterweser), Stadt",388.62,Q4,städtisch,Brake (Unterweser)
"Stadland - Schwei | Großzügiges Einfamilienhaus mit Terrasse, großem Garten & weiterem Baugrundstück",169000.0,"26936 Stadland, Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3.0,190.0,1407.0,889.0,Einfamilienhaus (freistehend),60.0,Nach Vereinbarung,2.0,1.0,1.0,3.57,{'is24qa-online-besichtigung-moeglich-label': ''},12.037659911047468,Stadland,Stadland,65.61,Q2,ländlich,Stadland
Bungalow in ruhiger bevorzugter Lage,135000.0,"26954 Nordenham, Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,99.2,886.0,1361.0,Bungalow,27.36,nach Vereinbarung,3.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},11.813037464800539,Norden,"Norden, Stadt",233.75,Q4,städtisch,Norden
Sanierungsbedürftiges Einfamilienhaus mit Potential,109000.0,"26969 Butjadingen, Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3.0,124.38,572.0,876.0,Einfamilienhaus (freistehend),103.79,sofort,2.0,1.0,2.0,3.57,{},11.599112335481124,Butjadingen,Butjadingen,46.83,Q1,ländlich,Butjadingen
Traumhaft gelegenes Einfamilienhaus an der Nordsee!,275000.0,"26969 Butjadingen, Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,117.98,434.0,2331.0,Einfamilienhaus (freistehend),57.28,sofort,4.0,3.0,3.0,3.57,{},12.524530013005734,Butjadingen,Butjadingen,46.83,Q1,ländlich,Butjadingen
Einfamilienhaus in beliebter Lage in Ruhwarden,245000.0,"26969 Butjadingen, Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,149.27,1001.0,1641.0,Einfamilienhaus (freistehend),97.45,nach Vereinbarung,3.0,1.0,2.0,3.57,{'is24qa-keller-label': ''},12.409017571151187,Lage,Lage,157.28,Q3,ländlich,Lage
Einfamilienhaus in beliebter Lage in Ruhwarden,245000.0,"26969 Butjadingen, Wesermarsch (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,149.27,1001.0,1641.0,Einfamilienhaus (freistehend),97.45,nach Vereinbarung,3.0,1.0,2.0,3.57,{'is24qa-keller-label': ''},12.409017571151187,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Gepflegtes Einfamilienhaus in ruhiger Wohnlage,280000.0,"27243 Dünsen, Oldenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,118.94,584.0,2354.0,Einfamilienhaus (freistehend),39.47,nach Vereinbarung,3.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},12.54254845357358,Dünsen,Dünsen,105.7,Q3,ländlich,Dünsen
Einfamilienhaus mit historischer Fassade,199000.0,"27243 Harpstedt, Oldenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,187.02,284.0,1064.0,Einfamilienhaus (freistehend),30.19,nil,5.0,2.0,1.0,2.975,{'is24qa-keller-label': ''},12.201065128819632,Harpstedt,"Harpstedt, Flecken",200.89,Q4,städtisch,Harpstedt
Freistehendes EFH/ ZFH mit Garten + Modernisierungen + 3 Stellplätzen auf dem Grundstück,259000.0,"27254 Siedenburg, Diepholz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,175.0,601.0,1480.0,Einfamilienhaus (freistehend),50.0,nach Absprache,5.0,2.0,2.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-vermietet-label': ''}",12.464587201678082,Diepholz,"Diepholz, Stadt",164.2,Q3,ländlich,Diepholz
Ruhiges Einfamilienhaus mit Potential / Großes Grundstück / Großer Garten !,179000.0,"27259 Wehrbleck, Diepholz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,115.8,1160.0,1546.0,Einfamilienhaus (freistehend),45.29,nach Vereinbarung,5.0,2.0,3.0,3.57,"{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.095146671399466,Diepholz,"Diepholz, Stadt",164.2,Q3,ländlich,Diepholz
Geräumiges Einfamilienhaus mit großem Potential in sehr begehrter Lage - Verden (Aller)!,435000.0,"27283 Verden (Aller), Verden (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,176.93,856.0,2459.0,Einfamilienhaus (freistehend),103.69,nil,3.0,2.0,1.0,3.57,{'is24qa-keller-label': ''},12.983103608918753,Verden (Aller),"Verden (Aller), Stadt",387.53,Q4,städtisch,Verden (Aller)
Großes EFH in ruhiger Lage mit Garage und Garten + Einbauküche sucht Familie mit 2 Kindern,285000.0,"27321 Emtinghausen, Verden (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,148.0,823.0,1926.0,Einfamilienhaus (freistehend),70.0,sofort,4.0,2.0,3.0,3.57,{'is24qa-keller-label': ''},12.560247968016562,Emtinghausen,Emtinghausen,71.26,Q2,ländlich,Emtinghausen
Einfamilienhaus mit Potenzial / Waldrandlage / Pferdehaltung / großes Grundstück und großer Garten !,115000.0,"27324 Gandesbergen, Nienburg (Weser) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,138.32,1774.0,831.0,Einfamilienhaus (freistehend),77.15,zeitnah nach Vereinbarung,4.0,2.0,3.0,3.57,{'is24qa-keller-label': ''},11.652696102959753,Gandesbergen,Gandesbergen,74.36,Q2,ländlich,Gandesbergen
Altersgerechte Immobilie in Unterstetdt,269000.0,"27356 Rotenburg (Wümme), Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,105.26,1000.0,2556.0,Einfamilienhaus (freistehend),100.0,nil,3.0,1.0,1.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-vermietet-label': ''}",12.502470376049185,Rotenburg (Wümme),"Rotenburg (Wümme), Stadt",224.1,Q4,städtisch,Rotenburg (Wümme)
Attraktives Familienhaus für Jung & Alt! Top gepflegt und teilweise barrierefrei in super Lage,365000.0,"27374 Visselhövede, Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8.0,230.92,624.29,1581.0,Einfamilienhaus (freistehend),51.13,nach Absprache,5.0,2.0,2.0,2.98,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': ''}",12.807655372286902,Rotenburg (Wümme),"Rotenburg (Wümme), Stadt",224.1,Q4,städtisch,Rotenburg (Wümme)
Ebenerdiges Wohnen am Stadtrand von Visselhövede,215000.0,"27374 Visselhövede, Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,142.0,803.0,1514.0,Bungalow,72.0,sofort,3.0,1.0,1.0,3.57,{},12.278397958261774,Rotenburg (Wümme),"Rotenburg (Wümme), Stadt",224.1,Q4,städtisch,Rotenburg (Wümme)
1-2 Familien Friesenhaus im Top-Zustand! Eine renditestarke Anlage in Bestform und schöner Lage,379000.0,"27404 Zeven, Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,158.25,670.25,2395.0,Einfamilienhaus (freistehend),30.0,nach Absprache,3.0,2.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.84529412258351,Rotenburg (Wümme),"Rotenburg (Wümme), Stadt",224.1,Q4,städtisch,Rotenburg (Wümme)
Volksbank Immobilien: Ruhige und zentrale Lage - Platz für Ihre Familie,299000.0,"27419 Sittensen, Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,133.0,350.0,2248.0,Reiheneckhaus,55.0,nil,4.0,1.0,1.0,3.0,{},12.608202196848836,Rotenburg (Wümme),"Rotenburg (Wümme), Stadt",224.1,Q4,städtisch,Rotenburg (Wümme)
"Bremervörde | Außergewöhnliches Einfamilienhaus mit Ausbaureserve, Carport und einzigartigem Garten",347000.0,"27432 Bremervörde, Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,140.0,646.0,2479.0,Einfamilienhaus (freistehend),130.0,Nach Vereinbarung,5.0,1.0,1.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}",12.757082940769225,Bremervörde,"Bremervörde, Stadt",124.09,Q3,ländlich,Bremervörde
Schönes Einfamilienhaus im Herzen von Bremervörde,289000.0,"27432 Bremervörde, Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,143.0,804.0,2021.0,Einfamilienhaus (freistehend),62.0,sofort,4.0,2.0,1.0,3.57,{'is24qa-keller-label': ''},12.574185427296195,Bremervörde,"Bremervörde, Stadt",124.09,Q3,ländlich,Bremervörde
Schönes Einfamilienhaus mit Einliegerwohnung,379000.0,"27432 Bremervörde, Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,186.0,875.0,2038.0,Einfamilienhaus (freistehend),88.0,nach Vereinbarung,4.0,3.0,1.0,3.57,{'is24qa-keller-label': ''},12.84529412258351,Bremervörde,"Bremervörde, Stadt",124.09,Q3,ländlich,Bremervörde
Bungalow mit Potenzial auf Traumgrundstück!,139000.0,"27432 Bremervörde, Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,91.0,1392.0,1527.0,Einfamilienhaus (freistehend),40.0,nil,3.0,1.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}",11.842236406331555,Bremervörde,"Bremervörde, Stadt",124.09,Q3,ländlich,Bremervörde
Schöne Doppelhaushälfte in Heinschenwalde,219000.0,"27432 Hipstedt, Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,113.31,445.5,1933.0,Doppelhaushälfte,20.0,August 2024,3.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},12.296831574998258,Hipstedt,Hipstedt,41.79,Q1,ländlich,Hipstedt
Modernes Einfamilienhaus in toller Wohnlage Baujahr 2016,479000.0,"27442 Gnarrenburg, Rotenburg (Wümme) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,157.0,641.0,3051.0,Einfamilienhaus (freistehend),50.0,nil,3.0,2.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},13.079457964073546,Gnarrenburg,Gnarrenburg,74.31,Q2,ländlich,Gnarrenburg
Zweifamilienhaus in guter Lage mit Rustikalem Stil,319000.0,"27474 Cuxhaven, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9.0,180.0,756.0,1772.0,Wohnimmobilie (sonstige),135.0,nil,4.0,2.0,2.0,2.975,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.672949516558306,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
"ideal für eine Familie: Doppelhaushälfte in Süderwisch, gepflegt, schnell beziehbar, Garage, Garten",279000.0,"27474 Cuxhaven, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,132.0,591.0,2114.0,Doppelhaushälfte,54.0,sofort,4.0,1.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.53897064502647,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
"Wohnhaus mit Ferienwohnung/ ELW, Garage, Vollkeller, 10 Min. vom Stand",339000.0,"27476 Cuxhaven, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,130.47,849.0,2598.0,Einfamilienhaus (freistehend),121.22,06/24,4.0,2.0,2.0,2.975,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.733758336210744,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
Gepflegtes Einfamilienhaus mit Kamin und Ausbaureserve,380000.0,"27478 Cuxhaven, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,155.0,1047.0,2452.0,Einfamilienhaus (freistehend),102.7,nach Vereinbarung,3.0,2.0,1.0,2.975,{'is24qa-keller-label': ''},12.847929163278053,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
Bungalow mit viel Platz in ruhiger Lage,229000.0,"27607 Langen, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,108.1,770.0,2118.0,Bungalow,120.0,nach Vereinbarung,3.0,2.0,3.0,3.57,{},12.34148164933907,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
Bremerhaven - Langen | Einfamilienhaus mit vielen Möglichkeiten!,319000.0,"27607 Langen, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,180.7,823.0,1765.0,Einfamilienhaus (freistehend),129.97,Ab sofort,4.0,1.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.672949516558306,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
Volksbank Immobilien: Gepflegtes Wohnen in zentraler Lage!,325000.0,"27607 Langen, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,164.0,650.0,1982.0,Einfamilienhaus (freistehend),80.0,nach Vereinbarung,2.0,1.0,1.0,3.57,{'is24qa-keller-label': ''},12.691583538230217,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
Ruhiges Wohnen in schönem Haus auf Erbbaurecht,154000.0,"27607 Langen, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,100.31,540.0,1535.0,Einfamilienhaus (freistehend),46.0,Vereinbarung,3.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},11.944714374881176,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
Neuwertiges Wohnhaus in zentraler Lage,439000.0,"27607 Langen, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,122.46,529.0,3585.0,Einfamilienhaus (freistehend),30.0,Vereinbarung,4.0,1.0,3.0,2.975,{},12.992256969959042,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
Wohnen in zentraler Lage mit viel Platz,180000.0,"27607 Langen, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,120.53,175.0,1493.0,Reihenmittelhaus,45.0,Vereinbarung,4.0,1.0,1.0,3.57,{'is24qa-gaeste-wc-label': ''},12.100717685412471,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
ToHuus Immobilien: Zweifamilienhaus mit Doppelgarage in Lox.-Stinstedt ...,229000.0,"27612 Loxstedt, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,160.0,1358.0,1431.0,Mehrfamilienhaus,70.0,"Absprache, teilverm.",5.0,2.0,2.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.34148164933907,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
Charmantes Einfamilienhaus mit Sauna und hochwertiger Ausstattung,429000.0,"27612 Loxstedt, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,175.0,733.0,2451.0,Einfamilienhaus (freistehend),113.0,nil,4.0,3.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.969214528909768,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
Traumhaftes Reetdach-Einfamilienhaus in idyllischer Lage von Schiffdorf,699000.0,"27619 Schiffdorf, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,224.0,1480.0,3121.0,Einfamilienhaus (freistehend),115.0,nil,5.0,2.0,2.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.457407451830088,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
"Charmantes, modernisiertes 1-Familienhaus mit Garage, überdachter Terrasse und großem Grundstück",165000.0,"27619 Schiffdorf, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,110.0,1156.0,1500.0,Einfamilienhaus (freistehend),70.0,nil,4.0,1.0,3.0,3.57,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}",12.013706813470414,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
ToHuus Immobilien: Einfamilienhaus mit Gartentraum in Mulsum an der Wurster Nordseeküste ...,159000.0,"27639 Mulsum, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,126.0,1175.0,1262.0,Einfamilienhaus (freistehend),78.0,nach Absprache,3.0,1.0,1.0,3.57,{'is24qa-keller-label': ''},11.976665770490767,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
ToHuus Immobilien: Einfamilienhäuschen im Ortskern von Wremen ...,148000.0,"27639 Wremen, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,92.0,454.0,1609.0,Einfamilienhaus (freistehend),40.0,nach Absprache,3.0,1.0,3.0,3.57,{'is24qa-keller-label': ''},11.904974309480183,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
"Volksbank Immobilien: Wohnen, wo andere Urlaub machen!",169000.0,"27639 Wremen, Cuxhaven (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,115.0,395.0,1470.0,Einfamilienhaus (freistehend),15.0,nach Vereinbarung,4.0,1.0,2.0,3.57,{'is24qa-keller-label': ''},12.037659911047468,Cuxhaven,"Cuxhaven, Stadt",298.41,Q4,städtisch,Cuxhaven
