title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
"****Modernes Einfamilienhaus, großes Grundstück, ruhige Lage, zentral gelegen ideal für Familien****",294.900 €,"06679 Hohenmölsen, Burgenlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,145 m²,923 m²,2.034 €/m²,Einfamilienhaus (freistehend),70 m²,nach Rücksprache,3,1,nil,"2,975 % auf den Kaufpreis",{'is24qa-keller-label': ''}
Was für eine ruhige Lage!,89.000 €,"Gaterslebener Weg 1,
06449 Aschersleben, Salzlandkreis",6,169 m²,1.300 m²,527 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,2,nil,Die Käufer-Provision beträgt 3570 Euro inkl. MwSt.,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
gemütliches Einfamilienhaus in Wolferode,85.000 €,"06295 Lutherstadt Eisleben, Mansfeld-Südharz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,150 m²,500 m²,567 €/m²,nil,nil,sofort,nil,2,4 Stellplätze,"3,57%",{'is24qa-keller-label': ''}
Bezugsfertiges Einfamilienhaus mit Einliegerwohnung,225.000 €,"Bahnhofstraße 12,
06268 Nemsdorf-Göhrendorf, Saalekreis",7,191 m²,984 m²,1.178 €/m²,Einfamilienhaus (freistehend),nil,Juni 2024,4,2,1 Stellplatz,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
"Wettin-OT, EFH",98.000 €,"Friedensstr. 11,
06193 Rothenburg, Saalekreis",4,80 m²,200 m²,1.225 €/m²,Wohnimmobilie (sonstige),nil,nil,nil,1,1 Außenstellplatz,Nein,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Direkt einziehen! Modernisiertes Reihenmittelhaus in Merseburg,195.000 €,"06217 Merseburg, Saalekreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,116 m²,274 m²,1.681 €/m²,Reihenmittelhaus,nil,nil,nil,1,nil,"3,57 %",{'is24qa-gaeste-wc-label': ''}
Geräumiges Reihenendhaus mit großzügigem Nebengelass,185.000 €,"38835 Osterwieck, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,122 m²,592 m²,1.516 €/m²,Reiheneckhaus,nil,01.05.2023,nil,nil,2 Garagen,"2,38 % inkl. MwSt",{}
Mehrfamilienhaus in zentrumsnaher Lage,955.000 €,"Zeppelinstraße 35,
06886 Lutherstadt Wittenberg, Wittenberg (Kreis)",53,1.362 m²,959 m²,701 €/m²,Mehrfamilienhaus,1.362 m²,nil,53,17,nil,68187,{'is24qa-keller-label': ''}
Eine Perle in Sachsen-Anhalt in idyllischer Randlage von Tangermünde,330.000 €,"Lüderitzer Straße 69,
39590 Tangermünde, Stendal (Kreis)",6,160 m²,500 m²,2.063 €/m²,Bungalow,nil,nil,2,2,2 Garagen,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Wohnen und Arbeiten unter einem Dach. Neue Eigentümer gesucht!,115.000 €,"39393 Völpke, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,"134,66 m²",545 m²,854 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,2 Stellplätze,"5,95% des Kaufpreises",{}
Stilvolle Fabrikantenvilla in zentraler Lage,740.000 €,"39218 Schönebeck (Elbe), Salzlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,500 m²,1.600 m²,1.480 €/m²,Mehrfamilienhaus,nil,nil,4,3,3 Stellplätze,3.57 %,{'is24qa-keller-label': ''}
Die Immobilie mit vielen Möglichkeiten,499.000 €,"An der Holtemme 31f,
38855 Wernigerode, Harz (Kreis)",8,380 m²,500 m²,1.313 €/m²,Einfamilienhaus (freistehend),nil,nach Absprache,4,2,1 Garage,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Einfamilienhaus in Gardelegen - sehr gepflegt,240.000 €,"39638 Gardelegen, Altmarkkreis Salzwedel
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,140 m²,550 m²,1.714 €/m²,Einfamilienhaus (freistehend),nil,sofort,5,2,2 Garagen,"3,57% (inkl. MwSt)","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Stilvolles Fachwerkhaus im Herzen der Altstadt,145.000 €,"39615 Werben (Elbe), Stendal (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,140 m²,142 m²,1.036 €/m²,Einfamilienhaus (freistehend),nil,nil,2,2,nil,"3,57% inkl. MwSt.",{'is24qa-keller-label': ''}
FLEXIBLES EINFAMILIENHAUS MIT SEPARATEM FERIENHAUS,320.000 €,"38871 Ilsenburg (Harz), Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,178 m²,790 m²,1.798 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,nil,4 Stellplätze,3.57 %,{'is24qa-keller-label': ''}
"Mit Grundstück, ein Bungalow, der begeistert in Winterfeld.",321.650 €,"Am Dornbusch x,
38486 Winterfeld, Altmarkkreis Salzwedel",5,127 m²,1.000 m²,2.533 €/m²,Bungalow,"5,22 m²",nil,4,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-als-ferienhaus-geeignet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
* idyllisches Grundstück bei Zeitz mit förderfähigen Familienhaus *,325.000 €,"06712 Wittgendorf, Burgenlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"113,88 m²",740 m²,2.854 €/m²,Einfamilienhaus (freistehend),nil,nil,3,1,Außenstellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Inkl. Grundstück, ein Bungalow, der begeistert in Estedt.",311.650 €,"An der Mühle x,
39638 Estedt, Altmarkkreis Salzwedel",5,127 m²,652 m²,2.454 €/m²,Bungalow,"5,22 m²",nil,4,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-als-ferienhaus-geeignet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Inkl. Grundstück, Für alle, die es großzügig lieben. Ihr Familienhaus in Mieste.",296.735 €,"Am Dammkrug x,
39649 Mieste, Altmarkkreis Salzwedel",5,"131,87 m²",839 m²,2.250 €/m²,Einfamilienhaus (freistehend),"8,09 m²",nil,4,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-als-ferienhaus-geeignet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Mit Grundstück, Familienleben auf einer Ebene in Klötze.",289.550 €,"An der Wasserfahrt x,
38486 Klötze, Altmarkkreis Salzwedel",6,"130,25 m²",693 m²,2.223 €/m²,Bungalow,"6,3 m²",nil,4,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-als-ferienhaus-geeignet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
