title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
FRÜHLINGSAKTION: Wie ein Haus - 4-Zimmer-ETW mit Garten in Hanshagen,245000.0,"17509 Hanshagen, Vorpommern-Greifswald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,130.5,1877.0,Erdgeschosswohnung,,nach Absprache,3,1,2 Stellplätze,"Käuferprovision 3,57% brutto (inkl. MwSt.) vom Gesamtkaufpreis","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': ''}"
Lichtverwöhnte Eigentumswohnung mit Balkon und Freistellplatz in Strandnähe,489000.0,"18375 Prerow, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,88.21,5544.0,Maisonette,,nach Absprache,3,2,1 Außenstellplatz,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
Exklusive Maisonette-Penthouse Wohnung mit Ostseeblick und zwei Tiefgaragenstellplätzen,979000.0,"Seebad Warnemünde, 18119 Rostock
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,149.0,6570.0,nil,,ab sofort,2,2,2 Garagen,siehe Sonstiges,"{'is24qa-personenaufzug-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Freie Erdgeschoss-Eigentumswohnung mit großem Garten in Wackerow,199500.0,"17498 Wackerow, Vorpommern-Greifswald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,76.95,2593.0,Erdgeschosswohnung,,ab sofort,3,1,2 Carports,"Käuferprovision 3,57 % vom Kaufpreis brutto (inkl. gesetzl. MwSt.)","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': ''}"
"2-Zi.-Terrassenwohnung in ruhiger, zentraler Lage - strandnah",395000.0,"Seebad Warnemünde, 18119 Rostock
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,65.0,6077.0,nil,,nach Vereinbarung,1,1,nil,siehe Sonstiges,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Traumhaft Wohnen & Urlauben an der Ostsee!,329000.0,"18181 Graal-Müritz, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,61.7,5332.0,Etagenwohnung,3.5,ab sofort,nil,1,Tiefgaragen-Stellplatz,"Die Käuferprovision beträgt 2,98 % des Kaufpreises inkl. 19% MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Sanierte 2-Zimmer-ETW mit Balkon und Einbauküche in der Fettenvorstadt,127000.0,"Innenstadt, 17489 Greifswald
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,48.0,2646.0,Etagenwohnung,,nach Absprache,1,1,1 Stellplatz,"Käuferprovision 3,57 % vom Kaufpreis brutto (inkl. gesetzl. MwSt.)","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"**Ankommen - Aufschliessen - Entspannen!_Diese möblierte, gemütliche, helle Wohnung wartet auf SIE!*",179000.0,"Alte Hauptstrasse 29,
18230 Biendorf, Rostock (Kreis)",2,44.2,4050.0,nil,,sofort bzw. nach Vereinbarung,1,1,1 Außenstellplatz,"3,57 % inkl. MwSt","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
3-Zi.-Eigentumswohnung in 1. Reihe mit Balkon und Meerblick,1500000.0,"Seebad Warnemünde, 18119 Rostock
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,105.0,14286.0,nil,,ab sofort,2,1,nil,siehe Sonstiges,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
"Anlage-Objekt: Vermietete, strandnahe 2-Zimmer-Eigentumswohnung im Hochparterre",450000.0,"Seebad Warnemünde, 18119 Rostock
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,79.0,5696.0,nil,,nil,1,1,nil,siehe Sonstiges,{'is24qa-keller-label': ''}
"2-Zimmer ""Schloss Studio mit Parkblick"" – Kapitalanlage mit emotionaler Rendite im Schloss Hohendorf",149350.0,"18445 Groß Mohrdorf, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,36.15,4131.0,Erdgeschosswohnung,,nil,1,1,1 Außenstellplatz,"3,57% inkl. gesetzl. MwSt.","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
charmante helle 2-Raum ETW mit Tiefgaragenstellplatz,85000.0,"17192 Waren (Müritz), Mecklenburgische Seenplatte (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,51.58,1648.0,Etagenwohnung,3.0,sofort,1,1,1 Tiefgaragen-Stellplatz,"3,57 % des Gesamtkaufpreises inkl. MwSt.","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"Bezaubernde und altengerechte Terrassenwohng mit Maßeinbauküche, Südterrasse im Ostseebad Nienhagen!",275900.0,"18211 Nienhagen, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,59.0,4676.0,Terrassenwohnung,70.0,2019,1,1,1 Außenstellplatz,"3,57% inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Schöne 2-Zimmer-Wohnung mit Terrasse und Garage voll möbliert direkt am Lauterbacher Hafen,205000.0,"18581 Putbus, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,50.0,4100.0,Erdgeschosswohnung,,1.1.2024,1,1,1 Duplex-Stellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"2-Zimmer ""Schloss-Apartment"" – Kapitalanlage mit emotionaler Rendite im Schloss Hohendorf",283000.0,"18445 Groß Mohrdorf, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,66.94,4228.0,Etagenwohnung,,nil,1,1,2 Außenstellplätze,"3,57% inkl. gesetzl. MwSt.","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Ihr Ruhepol an der Ostsee: Moderne Eigentumswohnungen in Boltenhagen,349000.0,"23946 Boltenhagen, Nordwestmecklenburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,57.0,6123.0,Etagenwohnung,8.0,nil,1,1,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': ''}"
"Zur Eigennutzung! geräumige 2-Raum-Wohnung mit Balkon, Tageslichtbad, als WG vermietbar",229000.0,"Barnstorfer Weg 27,
Kröpeliner-Tor-Vorstadt, 18057 Rostock",2,62.0,3694.0,Etagenwohnung,5.0,01.07.2024,2,1,nil,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
2-Zi-ETW - direkt im Herzen der Stadt gelegen,128000.0,"Prediger Straße 10,
18311 Ribnitz-Damgarten, Vorpommern-Rügen (Kreis)",2,52.4,2443.0,Erdgeschosswohnung,,nil,1,1,1 Außenstellplatz,"3,57 % des Kaufpreises inkl. MwSt.","{'is24qa-einbaukueche-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Wohnen mitten in der Natur auf dem Land in Ostseenähe,186000.0,"Hauptstr 22,
23948 Damshagen, Nordwestmecklenburg (Kreis)","2,5",70.0,2657.0,Hochparterre,120.0,15.6.2024,2,1,2 Außenstellplätze,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Sonnige u. sanierte Dachgeschosswohnung in Feldrandlage mit Wasserblick in 18551 Neddesitz auf Rügen,237000.0,"18551 Sagard, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,65.7,3607.0,Dachgeschoss,,Nach Vereinbarung,1,1,1 Außenstellplatz,"3,00 % (inkl. gesetzl. MwSt.)",{'is24qa-balkon-terrasse-label': ''}
"Moderne und lichtdurchflutete 2,5-Zimmerwohnung mit Aufzug in Wassernähe in 18581 Putbus-Lauterbach",278000.0,"18581 Putbus, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,55.44,5014.0,Etagenwohnung,,Nach Vereinbarung,2,1,1 Außenstellplatz,"3,00 % (inkl. gesetzl. MwSt.)","{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': ''}"
