title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Attraktive Neubauwohnung nach KfW 55 EE mit hohem Komfort & Balkonen- direkt am Werlsee! Obj. 6894,600000.0,"15537 Grünheide (Mark), Oder-Spree (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,100.25,5985.0,Etagenwohnung,,2024,2,1,nil,"3,57 % Provision inkl. MwSt","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Wohnen auf drei Etagen,673707.0,"16775 Gransee, Oberhavel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,112.66,5980.0,nil,,2025,3,2,1 Außenstellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Vermietete Wohnung im schönen Brandendurg a. d. Havel in Top-Citylage,256000.0,"Brüderstraße 4a,
Neustadt, 14776 Brandenburg an der Havel",3,83.8,3055.0,Etagenwohnung,83.8,nil,1,1,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnen am Yachthafen mit mediterranem Flair,515000.0,"14542 Werder (Havel), Potsdam-Mittelmark (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,98.61,5223.0,Etagenwohnung,,nach Vereinbarung,2,1,1 Garage,"3,57 %","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
2-Zimmer Dachgeschosswohnung mit Balkon in besonders charmanter Lage im Kirchsteigfeld,215000.0,"Kirchsteigfeld, 14480 Potsdam
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,65.18,3299.0,Dachgeschoss,,sofort,1,1,Außenstellplatz,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Attraktive Neubauwohnung nach KfW 55 EE mit hohem Komfort & Terrassen- direkt am Werlsee! Obj. 6896,725000.0,"15537 Grünheide (Mark), Oder-Spree (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,120.45,6019.0,Etagenwohnung,,2024,2,1,nil,"3,57 % Provision inkl. MwSt","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': ''}"
Bezugsfreie 2-Zimmerwohnung in beliebter Wohnlage,199000.0,"Friedrich-Naumann-Straße 40,
16540 Hohen Neuendorf, Oberhavel (Kreis)",2,52.19,3813.0,Etagenwohnung,,nil,nil,nil,1 Tiefgaragen-Stellplatz,"3,57% des Kaufpreises inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"Attraktive Rendite von 3,45%: Exklusive 2-Zimmer-Wohnung mit Tiefgaragenoption in Stahnsdorf – Perfe",189000.0,"Potsdamer Allee 66,
14532 Stahnsdorf, Potsdam-Mittelmark (Kreis)",2,46.69,4048.0,Sonstige,,nil,1,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"4-Zi.-ETW mit Loggia, Gäste-WC und TG-Stellplatz in ruhiger und zugleich urbaner Lage von Falkensee",305000.0,"14612 Falkensee, Havelland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,97.32,3134.0,Etagenwohnung,,nil,nil,1,1 Stellplatz,"3,57 %","{'is24qa-gaeste-wc-label': '', 'is24qa-vermietet-label': ''}"
Exklusive 3-Zimmer-Neubauwohnung in Basdorf: Großer Balkon & Fußbodenheizung,582822.0,"Anemonenweg 46,
16348 Wandlitz, Barnim (Kreis)",3,107.93,5400.0,Etagenwohnung,,Mitte 2024,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Ihr neues Familienzuhause,459900.0,"12529 Schönefeld, Dahme-Spreewald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,92.64,4964.0,Etagenwohnung,,nil,3,2,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Dachgeschoss, Neubauwohnung, KfW300, KfW40, o. Provision, Wärmepumpe",414000.0,"Cottbuser Str. 39,
15711 Königs Wusterhausen, Dahme-Spreewald (Kreis)",3,80.89,5118.0,Dachgeschoss,15.0,nil,1,1,1 Außenstellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Eine Wohnoase mitten in der Stadt: Moderner Komfort trifft antike Eleganz,690000.0,"Nördliche Innenstadt, 14467 Potsdam
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,146.0,4726.0,nil,,nil,nil,nil,nil,"3,57 % inkl. MwSt.",{'is24qa-vermietet-label': ''}
Heller offener Wohnbereich mit Zugang zum Balkon,259900.0,"Theodor-Fontane-Allee 2,
12529 Schönefeld, Dahme-Spreewald (Kreis)",2,56.03,4639.0,Etagenwohnung,9.59,Sommer 2025,1,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Gemütliche Wohnung mit zwei Balkonen,319900.0,"Theodor-Fontane-Allee 2,
12529 Schönefeld, Dahme-Spreewald (Kreis)",2,65.44,4888.0,Etagenwohnung,7.95,Herbst 2025,1,1,Tiefgaragen-Stellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Kapitalanlage, vermietete EIgentumswohung",265000.0,"12529 Schönefeld, Dahme-Spreewald (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,75.0,3533.0,Maisonette,81.0,nil,1,1,1 Tiefgaragen-Stellplatz,"2,38 % incl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"Gemütliche 3-Zimmer-Wohnung am Wandlitzsee, befristet vermietet",379000.0,"Prenzlauer Chaussee 227,
16348 Wandlitz, Barnim (Kreis)",3,81.0,4679.0,Hochparterre,,nil,2,1,1 Außenstellplatz,"3,57 inkl. gesetzlicher MwSt. bezogen auf den Kaufpreis","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Terrasse und Garten gefällig? Hochwertiges EG-Maisonette!,649000.0,"Niederstrasse 6,
16548 Glienicke/Nordbahn, Oberhavel (Kreis)",3,89.0,7292.0,Maisonette,,nil,2,2,1 Carport,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
4-Zimmer-Townhouse mit Terrasse und kleinem Garten,615708.0,"Kornblumenweg 18c,
16348 Wandlitz, Barnim (Kreis)",4,114.02,5400.0,Sonstige,,Mitte 2024,3,2,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Atemberaubende Dachgeschoss mit drei Balkonen,961000.0,"Niederstrasse 6,
16548 Glienicke/Nordbahn, Oberhavel (Kreis)","3,5",127.0,7567.0,Dachgeschoss,,nil,2,2,1 Carport,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Elegante & hochwertige Eigentumswohnung in ruhigem Umfeld,349000.0,"15566 Schöneiche bei Berlin, Oder-Spree (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,96.0,3635.0,Etagenwohnung,,sofort,3,1,1 Duplex-Stellplatz,"3,00","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Hochwertiges Wohnen: Barrierefreie 3-Zimmer-Wohnung mit Fußbodenheizung in Basdorf,536873.6,"Anemonenweg 46,
16348 Wandlitz, Barnim (Kreis)",3,96.56,5560.0,Terrassenwohnung,,Mitte 2024,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Erstbezug in Basdorf: Hochwertige Maisonettewohnung mit 5 Zimmern, Balkon & Fußbodenheizung",823878.0,"Kornblumenweg 20a,
16348 Wandlitz, Barnim (Kreis)",5,152.57,5400.0,Maisonette,,Mitte 2024,4,2,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Elegante 3-Zimmer-Wohnung in Basdorf: Großer Südbalkon inklusive,582822.0,"Anemonenweg 46,
16348 Wandlitz, Barnim (Kreis)",3,107.93,5400.0,Etagenwohnung,,Mitte 2024,2,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Kapitalanlageobjekt im Speckgürtel von Berlin *zentral gelegen*,88000.0,"Havelpassage 12,
16761 Hennigsdorf, Oberhavel (Kreis)",1,27.0,3259.0,Etagenwohnung,,nil,nil,1,1 Parkhaus-Stellplatz,"3.141,60","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
