title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Frisch modernisierte 3-Zimmer-Wohnung - Eppendorf,559000.0,"Eppendorf, 20251 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,64.59,8655.0,nil,,nach Vereinbarung,2,1,nil,"3,57 % inkl. gesetzl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Urbane Eleganz: Maisonette-Wohnung in Hamburgs begehrtem Groß Flottbek,1590000.0,"Groß Flottbek, 22607 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,129.0,12326.0,Maisonette,,nil,nil,nil,nil,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': ''}"
Maisonette mit großer Dachterrasse - Stilvolles und energieeffizientes Wohnen in Eidelstedt,499000.0,"Eidelstedt, 22523 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5",96.0,5198.0,Maisonette,,nil,1,1,nil,"3,57 % inkl. MwSt.",{'is24qa-balkon-terrasse-label': ''}
Moderne und barrierefreie 4-Zimmer-Wohnung mit Loggia in begehrtem Othmarschen,750000.0,"Othmarschen, 22763 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,96.0,7813.0,Erdgeschosswohnung,,nil,nil,2,1 Tiefgaragen-Stellplatz,"3,57 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Doppelter Charme: 2-Zi.-Whg. zzgl. DG-Einheit,389000.0,"Rahlstedt, 22145 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,119.56,3254.0,Maisonette,,nil,2,2,1 Außenstellplatz,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Neuwertiges City-Apartement mit TG-Stellplatz,449000.0,"Uhlenhorst, 22085 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,53.0,8472.0,nil,,nil,1,1,nil,"3,57 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Zeitgemäßes Wohnen: Lichtdurchflutete Eigentumswohnung mit Balkon zwischen Eidelstedt und Stellingen,499900.0,"Eidelstedt, 22527 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,82.5,6059.0,Etagenwohnung,,nil,1,1,nil,"zuzüglich 2,5 % Maklerprovision inkl. 19% MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
"Vermietetes Wohlfühl-Nest mitten in Eidelstedt. Zentral, zentraler, am zentralsten",269000.0,"Eidelstedter Dorfstr. 10,
Eidelstedt, 22527 Hamburg",3,70.0,3843.0,Etagenwohnung,16.0,nil,2,1,nil,"3,12%","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Vis à vie der Alster - wohnen im beliebten Uhlenhorst,1800000.0,"Uhlenhorst, 22085 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,185.0,9730.0,Etagenwohnung,,nil,nil,nil,nil,"3,57 % inkl. MwSt.",{'is24qa-balkon-terrasse-label': ''}
Sanierte Endetage mit Weitblick,890000.0,"Blankenese, 22587 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,134.0,6642.0,nil,,nil,2,2,1 Stellplatz,"3,57 % inkl. 19 % MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
