title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
www.r-o.de +++ Leerstehende und frisch renovierte Eigentumswohnung in sanierter Jugendstilvilla,413445.0,"Loschwitz/Wachwitz, 01326 Dresden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,80.28,5150.0,Etagenwohnung,,ab sofort,2,1,1 Außenstellplatz,"3,57% des Kaufpreises inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
TOP Investition mit Balkon für Einsteiger in Hilbersdorf!,43000.0,"Zeißstraße 83a,
Hilbersdorf, 09131 Chemnitz",1,44.09,975.0,Etagenwohnung,,nil,1,1,1 Außenstellplatz,"3,57 % inkl. MwSt. jedoch mindestens 3.153,50 € inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
*** Schicke 2-Raum-Wohnung in Chemnitz sucht Eigennutzer oder Kapitalanleger ***,36900.0,"Hilbersdorfer Straße 64,
Hilbersdorf, 09131 Chemnitz",2,40.43,913.0,Dachgeschoss,,nil,nil,nil,nil,"4,76% inkl. MwSt. jedoch mind. 3.094,00€ inkl. MwSt.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': ''}"
ETW mit großem Garten in ruhiger Bestlage im Waldstraßenviertel!,330000.0,"Max-Planck-Str. 16,
Zentrum-Nordwest, 04105 Leipzig",3,88.5,3729.0,nil,,nil,nil,nil,nil,"4,17 % inkl. Mwst. auf den erzielten Kaufpreis","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': ''}"
2-Raum-Wohnung mit Lift und Balkon,129000.0,"Reick, 01237 Dresden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,62.0,2081.0,nil,,nil,nil,nil,1 Tiefgaragen-Stellplatz,3.57 %,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
"++ Familientraum mit fünf Zimmer, zwei Balkonen, zwei Bädern und Kamin ++",549000.0,"Volkmarsdorf, 04315 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,172.8,3177.0,Etagenwohnung,180.5,nil,4,2,nil,"3,57 % inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Direkt beziehbar! Möblierte 1-Zimmer-ETW mit Balkon, Aufzug, TG-Stellplatz in zentraler Lage!",109990.0,"Blasewitz (Stadtteil), 01277 Dresden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,40.82,2695.0,Etagenwohnung,,sofort,1,1,1 Tiefgaragen-Stellplatz,"3,57% inkl. 19% Mwst. vom Kaufpreis","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Traumhafte 4-Raum. Maisonettewohnung mit Parkblick,325000.0,"Bergstraße 16,
Neustadt-Neuschönefeld, 04315 Leipzig",4,92.86,3500.0,nil,8.0,01..10..2024,3,1,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Eigentumswohnung im Neuseenland,65000.0,"04575 Neukieritzsch, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,72.8,893.0,Dachgeschoss,,nil,2,1,1 Außenstellplatz,1.950 € inkl. MwSt.,"{'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Kapitalanlage in Leubnitz-Neuostra,109000.0,"Strehlen, 01219 Dresden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,38.35,2842.0,Etagenwohnung,,nil,nil,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. 19% MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Schöne 1-Raum-Wohnung mit Balkon und Stellplatz,51500.0,"Bohraer Str. 59,
01936 Königsbrück, Bautzen (Kreis)",1,25.84,1993.0,Etagenwohnung,,nil,1,nil,1 Außenstellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
vermietete 2-Raumwohnung - hochwertig saniert - in Chemnitz kaufen,65500.0,"Hilbersdorf, 09131 Chemnitz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,57.04,1148.0,Etagenwohnung,,nil,1,1,nil,"3,57% des Kaufpreises inkl. MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
renovierte 1-Raum-Wohnung mit Balkon und Stellplatz,47000.0,"Bohraer Str. 59,
01936 Königsbrück, Bautzen (Kreis)",1,23.51,1999.0,Etagenwohnung,,sofort,1,nil,1 Außenstellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Vermietete 2 Raum Wohnung im Zentrum,46000.0,"Zentrum, 09111 Chemnitz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,46.0,1000.0,Etagenwohnung,,vermietet,nil,nil,nil,4000 €,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Solide Kapitalanlage: Vermietete Eigentumswohnung in Plauen, Vogtland, 74,86 qm, zu verkaufen.",72000.0,"Neundorfer Vorstadt, 08523 Plauen
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,74.86,962.0,Maisonette,,zeitnah nach Kauf,nil,1,nil,"3,57inkl. MwSt","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Schöne 2-Raum-Wohnung im DG mit Balkon und Stellplatz,68000.0,"Bohraer Str. 59,
01936 Königsbrück, Bautzen (Kreis)",2,34.14,1992.0,Dachgeschoss,,nil,2,1,1 Außenstellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
AREAS: Attraktive 4-Zi-ETW mit Balk. und TG-Stellpl. in Niederpoyritz zu verkaufen,469000.0,"Hosterwitz/Pillnitz, 01326 Dresden
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,116.0,4043.0,Etagenwohnung,,nil,1,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
+++ Vermietete Eigentumswohnung mit Balkon und Tiefgarage +++,85000.0,"Grüna, 09224 Chemnitz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,84.0,1012.0,Etagenwohnung,4.0,nil,1,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. gesetzl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
"""!Eigentumswohnung im Herzen von Geyer - Ihr neues Zuhause erwartet Sie!""",59800.0,"09468 Geyer, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,63.0,949.0,Etagenwohnung,,nil,1,1,nil,"4,76 % inkl. ges. MwSt.",{'is24qa-garten-mitbenutzung-label': ''}
Auch als Anlageobjekt gut geeignet in Anger- Crottendorf,110000.0,"Theodor- Neubauer- Str. 31,
Anger-Crottendorf, 04318 Leipzig",1,42.57,2584.0,Erdgeschosswohnung,,nil,1,1,nil,"3,57 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
