title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Ihr MFH | Zukunftssicheres Investment mit viel Grün!,535000.0,"04552 Borna, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",16,370.09,1130.0,1446.0,Mehrfamilienhaus,,nil,nil,nil,1 Stellplatz,"7,14% vom Kaufpreis (inkl. MwSt.) inkl. MwSt.",{'is24qa-vermietet-label': ''}
Zwei Mehrfamilienhäuser mit Entwicklungspotential südlich von Leipzig,990000.0,"04552 Borna, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",28,677.88,2090.0,1460.0,Mehrfamilienhaus,,nil,nil,nil,1 Stellplatz,"7,14% vom Kaufpreis (inkl. MwSt.) inkl. MwSt.",{'is24qa-vermietet-label': ''}
Provisionsfrei ! Reihenhaus in ruhiger sonniger Lage - Heizung u. Dach neu -Sanierung erforderlich,59000.0,"Forststraße 112,
08393 Meerane, Zwickau (Kreis)",5,150.0,360.0,393.0,Reihenmittelhaus,200.0,sofort,3,2,nil,Nein,"{'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
BAUPARTNER für ein Doppelhaus in BEUCHA gesucht! Grundstück vorhanden!,265000.0,"04824 Brandis, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,105.0,515.0,2524.0,Doppelhaushälfte,,nil,1,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
1-2-Familien-Haus in guter Lage! | Schöner Garten | renovierungsbedürftig | Garage,369000.0,"04509 Krostitz, Nordsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",12,293.23,570.0,1258.0,Mehrfamilienhaus,,sofort,11,8,3 Außenstellplätze,"3,57% inkl. MwSt.","{'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Neubau-Traumhaus mit eigenem Gartenanteil und Süd-Terrasse – ohne Käuferprovision,599890.0,"04463 Großpösna, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,125.5,209.0,4780.0,Reiheneckhaus,,voraussichtlich 4. Quartal 2024,3,1,1 Außenstellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Eigener Garten l NEUBAU-Reihenmittelhaus l Provisionsfrei für den Käufer,660596.0,"04463 Großpösna, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,138.2,209.0,4780.0,Reihenmittelhaus,,voraussichtlich 4. Quartal 2024,3,1,1 Außenstellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Gemütliches Haus direkt in der Altstadt von Rochlitz - Neuer Preis !,109000.0,"09306 Rochlitz, Mittelsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,75.0,40.0,1453.0,Reiheneckhaus,,nil,2,1,nil,"3,57 % inkl. MwSt. inkl. MwSt.",{'is24qa-gaeste-wc-label': ''}
Mehrgenerationenhaus in der Sächsischen Schweiz zu verkaufen,89000.0,"01855 Sebnitz, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,250.0,1439.0,356.0,Einfamilienhaus (freistehend),100.0,01.03.2024,5,4,1 Garage,"4,76% vom Kaufpreis","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': '', 'is24qa-einliegerwohnung-label': ''}"
Werden Sie ein Teil der Geschichte - ehemaliges Huthaus nahe Schwarzenberg zu verkaufen!,85000.0,"08352 Raschau-Markersbach, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,200.0,2500.0,425.0,nil,400.0,sofort,nil,1,2 Garagen,"3,57 % inkl. gesetzl. MwSt. mindestens jedoch 2.380,00 € inkl. gesetz. MwSt.",{}
+++ bezugsfertiges Mehrfamilienhaus mit 3 WE am Stadtrand von Chemnitz +++,348200.0,"Glösa-Draisdorf, 09114 Chemnitz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,195.0,390.0,1786.0,Mehrfamilienhaus,75.0,nil,5,3,3 Stellplätze,"3,57 %","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Doppelhaushälfte im Erstbezug mit ca. 140 m² Wohnfläche zu großartigem Preis!,347700.0,"Kühnicht, 02977 Hoyerswerda
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,140.0,362.0,2484.0,Doppelhaushälfte,,nil,1,nil,1 Stellplatz,"3,57% des Kaufpreises inkl. MwSt.",{'is24qa-gaeste-wc-label': ''}
