title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Renditeobjekt: Exklusives Wohn- und Geschäftshaus in zentraler Lage von St. Ingbert mit über 9 % Ren,690000.0,"66386 Sankt Ingbert, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,266.0,660.0,2594.0,nil,876.0,nil,4,2,7 Außenstellplätze,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-keller-label': ''}
Stilvoll wohnen im Herzen von Homburg: Kernsanierte Doppelhaushälfte in bevorzugter Wohnlage,599000.0,"66424 Homburg, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,160.0,485.0,3744.0,Doppelhaushälfte,,nil,5,2,2 Außenstellplätze,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-keller-label': ''}
Gepflegte Doppelhaushälfte mit schönem Garten,280000.0,"66450 Bexbach, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,149.0,530.0,1879.0,Doppelhaushälfte,80.0,nil,4,1,1 Garage,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Gepflegtes Einfamilienhaus im Herzen von Oberthal,295000.0,"66649 Oberthal, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","9,5",180.0,2796.0,1639.0,Einfamilienhaus (freistehend),,nil,6,2,2 Garagen,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-keller-label': ''}
Ein Traum von ca. 3.022 m² Grundstück am unteren Eschberg/Schafbrücke,475000.0,"Schafbrücke, 66121 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,220.67,3022.0,2153.0,Einfamilienhaus (freistehend),130.8,nil,4,2,2 Außenstellplätze,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Ihre Chance - Wohn-/Geschäftshaus in Rehlingen-Siersburg,280000.0,"66780 Rehlingen-Siersburg, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,118.0,354.0,2373.0,nil,171.0,nil,4,1,1 Garage,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Gepflegtes freistehendes Einfamilienhaus mit schönem Garten,259000.0,"66589 Merchweiler, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,169.0,684.0,1533.0,Einfamilienhaus (freistehend),44.0,nach Vereinbarung,3,2,4 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Mehrfamilienhaus mit viel Potenzial sucht neuen Besitzer,175000.0,"66292 Riegelsberg, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,155.0,586.0,1129.0,Mehrfamilienhaus,162.0,nil,4,3,1 Garage,"3,57 des Kaufpreises inkl. Mehrwertsteuer","{'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': '', 'is24qa-vermietet-label': ''}"
Wohn/Geschäftshaus in bester Lage von Blieskastel,465000.0,"66440 Blieskastel, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,280.0,640.0,1661.0,nil,80.0,nil,4,nil,2 Außenstellplätze,"3,57% vom notariellen Kaufpreis",{'is24qa-gaeste-wc-label': ''}
Repräsentative Villa mit Pool auf parkähnlichem Grundstück.,1149000.0,"Bischmisheim, 66132 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,481.0,6600.0,2389.0,Villa,,sofort,4,4,6 Garagen,"3,57% des notariellen Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-einliegerwohnung-label': ''}"
