title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Kapitalanlage: Vollvermietetes Mehrfamilienhaus mit Ausbaupotential in Bad Langensalza,179000.0,"99947 Bad Langensalza, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",14,273.0,316.0,656.0,Mehrfamilienhaus,,nil,nil,3,1 Stellplatz,"4,76 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
+++ Mehrfamilienhaus mit Nebengebäude auf einem 19413 m² großem Grundstück +++,350000.0,"37308 Pfaffschwende, Eichsfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11,437.0,19413.0,801.0,Mehrfamilienhaus,1570.0,nil,7,4,7 Garagen,"5,95 % inkl. MwSt. des beurkundeten Kaufpreises",{'is24qa-keller-label': ''}
Geräumige Doppelhaushälfte mit 5 Zimmern und Nebengelass in Martinroda,124900.0,"98693 Martinroda, Ilm-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,148.0,355.0,844.0,Doppelhaushälfte,0.0,nil,3,2,1 Garage,"3,57% vom Kaufpreis inkl. MwSt.",{'is24qa-keller-label': ''}
"Einziehen und Wohlfühlen – Ansprechendes Einfamilienhaus mit Garten, Kamin und Keller",228500.0,"96524 Judenbach, Sonneberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,187.0,816.0,1222.0,Einfamilienhaus (freistehend),0.0,Nach Vereinbarung,nil,2,1 Außenstellplatz,"1,95% vom Kaufpreis inkl. MwSt.",{'is24qa-keller-label': ''}
"Gemütliches Reihenmittelhaus mit Garten, Terrasse und Stellplatz in Brühlervorstadt",275000.0,"Brühlervorstadt, 99092 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,92.0,160.0,2989.0,Reihenmittelhaus,0.0,Nach Vereinbarung,4,1,1 Außenstellplatz,"3,57% vom Kaufpreis inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Sanierungsbedürftiges MFH mit 6 Wohneinheiten und sehr großem Grundstück in Sonneberg-Köppelsdorf,359000.0,"96515 Sonneberg, Sonneberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",32,600.0,8610.0,598.0,Mehrfamilienhaus,0.0,nil,nil,nil,1 Außenstellplatz,"1,95% vom Kaufpreis inkl. MwSt.",{'is24qa-keller-label': ''}
DOPPELHAUSHÄLFTE AM HORN MIT POTENZIAL,400000.0,"Theodor-Storm-Str. 23,
Parkvorstadt, 99425 Weimar",4,92.0,496.0,4348.0,Doppelhaushälfte,50.0,Mit Kauf!,2,1,2 Garagen,"Der Käufer zahlt eine Maklerprovision in Höhe von 3,57% des Kaufpreises.",{'is24qa-keller-label': ''}
"Bauernhaus mit sehr viel Potenzial und gutem Zustand, bis zu 620 m² Wfl. möglich",109000.0,"99628 Guthmannshausen, Sömmerda (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,120.0,1400.0,908.0,Bauernhaus,620.0,sofort,3,2,nil,"3,57% inkl. 19% MwSt.","{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
"Exklusive Zapfe-Villa ""Deinhardt"" in der begehrten Weimarer Westvorstadt",1250000.0,"Schönblick, 99425 Weimar
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",13,425.0,6842.0,2941.0,Villa,,sofort,nil,4,4 Carports,"3,57","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Zweifamilienhaus leerstehend und mit vermieteter Gewerbeeinheit,200000.0,"99885 Ohrdruf, Gotha (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,172.0,170.0,1163.0,Mehrfamilienhaus,368.0,nil,3,2,nil,Nein,"{'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
