title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
"1,5 ZIMMER-WOHNUNG ZUR KAPITALANLAGE / WESTSTADT",170.000 €,"Lessingstr. 37F,
Weststadt, 76135 Karlsruhe",1,36 m²,4.722 €/m²,Etagenwohnung,8 m²,nil,1,1,1 Duplex-Stellplatz,3% zzgl. 19% MwSt.,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Modern konzipierte 3-Zimmer-Eigentumswohnung mit sonnigem Balkon, Garage in angenehmer Vorortlage",329.000 €,"Rheinau, 68219 Mannheim
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"94,15 m²",3.494 €/m²,Etagenwohnung,nil,sofort,nil,1,1 Garage,"3,00 % inkl. MwSt.",{'is24qa-balkon-terrasse-label': ''}
"Attraktive 2,5-Zimmer-Erdgeschoss-Wohnung mit großem Garten und TG-Stellplatz in zentraler Lage",245.000 €,"88299 Leutkirch im Allgäu, Ravensburg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5","60,15 m²",4.073 €/m²,Etagenwohnung,nil,nil,nil,nil,1 Tiefgaragen-Stellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"WOHNTRAUM - hochwertig sanierte und sonnige 4,5-Zimmer-Maisonette-WG im Osterholz mit Weitblick",389.000 €,"89522 Heidenheim an der Brenz, Heidenheim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","4,5",117 m²,3.325 €/m²,Maisonette,nil,01.07.2024,2,1,1 Garage,"2,38 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Stilvolle 3-Zimmer-Wohnung mit Balkon nach stilvoller Renovierung,289.000 €,"69190 Walldorf, Rhein-Neckar-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,68 m²,4.250 €/m²,Etagenwohnung,nil,nil,2,1,nil,"3,57% inkl. MwSt. inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"Sonnige 3,5-Zimmer-Maisonettewohnung in Dornstadt/ Bollingen",245.000 €,"89160 Dornstadt, Alb-Donau-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5","89,77 m²",2.729 €/m²,Etagenwohnung,nil,1.7.2024,2,1,1 Tiefgaragen-Stellplatz,"3,57% inkl. gesetzlicher MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Exklusive 4-Zimmer-Wohnung in der Radolfzeller Altstadt – 200 m zum Seeufer,379.000 €,"78315 Radolfzell am Bodensee, Konstanz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,92 m²,4.120 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,"3,57","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Solide Kapitalanlage!! vermietete 3 Zi. ETW mit Balkon in Mannheim-Almenhof!!,219.000 €,"Neckarau, 68199 Mannheim
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"62,4 m²",3.510 €/m²,Etagenwohnung,nil,Vermietet,2,1,nil,"3,57% inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Moderne 3-Zimmer-Wohnung mit Balkon in Bodman – Nur wenige Schritte vom See entfernt,529.000 €,"78351 Bodman-Ludwigshafen, Konstanz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,67 m²,7.896 €/m²,Erdgeschosswohnung,7 m²,nil,2,1,2 Tiefgaragen-Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Ideale Wohnung für Studenten, Pendler, Singles... in guter und zentraler Lage",195.000 €,"Schwetzingerstadt/Oststadt, 68165 Mannheim
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"44,38 m²",4.394 €/m²,Etagenwohnung,nil,Nach Vereinbarung,nil,1,1 Tiefgaragen-Stellplatz,"3,57% inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Geldanlage mit guter Aussicht,120.000 €,"Hermann-Hesse-Straße 9,
72469 Meßstetten, Zollernalbkreis",3,"80,64 m²",1.488 €/m²,Etagenwohnung,nil,sofort,nil,1,nil,"3,57 % inkl. 19 % MwSt. aus dem beurkundeten Kaufpreis","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Denkmalgeschützter Neubau,1.490.000 €,"78315 Radolfzell am Bodensee, Konstanz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,222 m²,6.712 €/m²,nil,nil,ca. 1. Quartal 2025,nil,1,1 Stellplatz,2.38 %,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Gemütliche Eigentumswohnung in zentraler Lage,189.000 €,"69469 Weinheim, Rhein-Neckar-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,52 m²,3.635 €/m²,Etagenwohnung,nil,nil,1,1,1 Außenstellplatz,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
